school_code,school_name,postcode,town_suburb,operational_directorate,principal_network,class_type
8525,Peel High School,2340,Tamworth ,Tamworth,Peel,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8531,St Johns Park High School,2176,St Johns Park ,Ultimo,Cowpasture,Supporting students with moderate intellectual disability (IO)
8531,St Johns Park High School,2176,St Johns Park ,Ultimo,Cowpasture,Supporting students with mild intellectual disability (IM)
8534,Great Lakes College Forster Campus,2428,Forster ,Tamworth,Great Lakes,Supporting students with mild intellectual disability (IM)
8534,Great Lakes College Forster Campus,2428,Forster ,Tamworth,Great Lakes,Supporting students with mental health issues (ED Emotional Disturbance)
8534,Great Lakes College Forster Campus,2428,Forster ,Tamworth,Great Lakes,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8539,Sydney Secondary College Blackwattle Bay Campus,2037,Glebe ,Ultimo,Iron Cove,Supporting students with autism (Au)
8539,Sydney Secondary College Blackwattle Bay Campus,2037,Glebe ,Ultimo,Iron Cove,Supporting students with mild intellectual disability (IM)
8539,Sydney Secondary College Blackwattle Bay Campus,2037,Glebe ,Ultimo,Iron Cove,Supporting students with moderate intellectual disability (IO)
8539,Sydney Secondary College Blackwattle Bay Campus,2037,Glebe ,Ultimo,Iron Cove,Supporting students with physical disability (P)
8540,Marrickville High School,2204,Marrickville ,Ultimo,Marrickville,Supporting students with moderate intellectual disability (IO)
5614,William Rose School,2147,Seven Hills ,Macquarie Park,Bungarribee,Supporting students who are blind or vision impaired (V)
5614,William Rose School,2147,Seven Hills ,Macquarie Park,Bungarribee,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5614,William Rose School,2147,Seven Hills ,Macquarie Park,Bungarribee,Supporting students who are Deaf/Blind (DB)
5616,Minerva School,2232,Sutherland ,Ultimo,Woronora River,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5616,Minerva School,2232,Sutherland ,Ultimo,Woronora River,Supporting students with mental health issues (ED Emotional Disturbance)
5616,Minerva School,2232,Sutherland ,Ultimo,Woronora River,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5621,Kurrambee School,2747,Werrington ,Macquarie Park,Cambridge Park,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5627,Glenvale School,2250,Narara ,Macquarie Park,Mooney Mooney,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5627,Glenvale School,2250,Narara ,Macquarie Park,Mooney Mooney,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5631,Wairoa School,2026,Bondi Beach ,Ultimo,Bondi,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5652,Caroline Chisholm School,2211,Padstow ,Ultimo,Bankstown,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5653,Wewak Street School,2640,North Albury,Wagga Wagga,Albury,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5653,Wewak Street School,2640,North Albury,Wagga Wagga,Albury,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5656,Arranounbai School,2086,Frenchs Forest ,Macquarie Park,The Forest,Supporting students with physical disability (P)
5656,Arranounbai School,2086,Frenchs Forest ,Macquarie Park,The Forest,Supporting students with autism (Au)
5656,Arranounbai School,2086,Frenchs Forest ,Macquarie Park,The Forest,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5666,Peterborough School,2528,Warilla,Wagga Wagga,Lake Illawarra South,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5666,Peterborough School,2528,Warilla,Wagga Wagga,Lake Illawarra South,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5670,Karonga School,2121,Epping ,Macquarie Park,Carlingford,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5670,Karonga School,2121,Epping ,Macquarie Park,Carlingford,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5674,Gadara School,2720,Tumut,Wagga Wagga,Gundagai,Supporting students with autism (Au)
5674,Gadara School,2720,Tumut,Wagga Wagga,Gundagai,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5687,Hunter River Community School,2323,Metford,Tamworth,Hunter,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5687,Hunter River Community School,2323,Metford,Tamworth,Hunter,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5698,Havenlee School,2541,North Nowra,Wagga Wagga,Shoalhaven,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5698,Havenlee School,2541,North Nowra,Wagga Wagga,Shoalhaven,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5713,Lucas Gardens School,2046,Canada Bay,Ultimo,Strathfield,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5713,Lucas Gardens School,2046,Canada Bay,Ultimo,Strathfield,Supporting students with severe intellectual disability (IS)
5721,Mary Brooksbank School,2560,Rosemeadow ,Ultimo,Camden,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5730,Gralee School,2705,Leeton ,Wagga Wagga,Narrandera,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5735,Campbell House School,2167,Glenfield,Ultimo,Glenfield,Supporting students with mental health issues (ED Emotional Disturbance)
5736,Holman Place School,2794,Cowra ,Wagga Wagga,Cowra,Supporting students with autism and/or moderate intellectual disability (IO/Au)
5736,Holman Place School,2794,Cowra ,Wagga Wagga,Cowra,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5736,Holman Place School,2794,Cowra ,Wagga Wagga,Cowra,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5737,Edgeware School,2193,Hurlstone Park ,Ultimo,Canterbury,Supporting students with mental health issues (ED Emotional Disturbance)
5754,Plumpton House School,2761,Plumpton ,Macquarie Park,Eastern Creek,Supporting students with behavioural issues (BD)
5755,HopeTown School,2259,Wyong ,Macquarie Park,Central Coast,Supporting students with mental health issues (ED Emotional Disturbance)
5760,North Gosford Learning Centre,2250,North Gosford,Macquarie Park,Central Coast,Supporting students with mental health issues (ED Emotional Disturbance)
5760,North Gosford Learning Centre,2250,North Gosford,Macquarie Park,Central Coast,Supporting students with behavioural issues (BD)
5761,Penrith Valley Learning Centre,2747,Werrington,Macquarie Park,Cambridge Park,Supporting students with behavioural issues (BD)
5767,George Bass School,2197,Bass Hill,Ultimo,Chipping Norton,Supporting students with moderate and students with severe intellectual disability (IO/IS)
7311,Scone Public School,2337,Scone ,Tamworth,Upper Hunter,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
7422,Kurri Kurri Public School,2327,Kurri Kurri ,Tamworth,Cessnock,Supporting students with moderate and students with severe intellectual disability (IO/IS)
7422,Kurri Kurri Public School,2327,Kurri Kurri ,Tamworth,Cessnock,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8104,Bowral High School,2576,Bowral ,Ultimo,Wollondilly,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8104,Bowral High School,2576,Bowral ,Ultimo,Wollondilly,Supporting students with autism (Au)
8104,Bowral High School,2576,Bowral ,Ultimo,Wollondilly,Supporting students with mild intellectual disability (IM)
8110,Dubbo College Senior Campus,2830,Dubbo,Wagga Wagga,Macquarie,Supporting students with moderate intellectual disability (IO)
8110,Dubbo College Senior Campus,2830,Dubbo,Wagga Wagga,Macquarie,Supporting students with mild intellectual disability (IM)
8110,Dubbo College Senior Campus,2830,Dubbo,Wagga Wagga,Macquarie,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8110,Dubbo College Senior Campus,2830,Dubbo,Wagga Wagga,Macquarie,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8119,Hay War Memorial High School,2711,Hay ,Wagga Wagga,Griffith,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8123,Kempsey High School,2440,Kempsey ,Tamworth,Macleay Valley,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8123,Kempsey High School,2440,Kempsey ,Tamworth,Macleay Valley,Supporting students with mental health issues (ED Emotional Disturbance)
8123,Kempsey High School,2440,Kempsey ,Tamworth,Macleay Valley,Supporting students with mild intellectual disability (IM)
8125,Lithgow High School,2790,Lithgow,Wagga Wagga,Lithgow,Supporting students with mental health issues (ED Emotional Disturbance)
8125,Lithgow High School,2790,Lithgow,Wagga Wagga,Lithgow,Supporting students with mild intellectual disability (IM)
8125,Lithgow High School,2790,Lithgow,Wagga Wagga,Lithgow,Supporting students with autism (Au)
8125,Lithgow High School,2790,Lithgow,Wagga Wagga,Lithgow,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8125,Lithgow High School,2790,Lithgow,Wagga Wagga,Lithgow,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8128,Mudgee High School,2850,Mudgee ,Wagga Wagga,Mudgee,Supporting students with mental health issues (ED Emotional Disturbance)
8128,Mudgee High School,2850,Mudgee ,Wagga Wagga,Mudgee,Supporting students with mild intellectual disability (IM)
8128,Mudgee High School,2850,Mudgee ,Wagga Wagga,Mudgee,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8134,Orange High School,2800,Orange ,Wagga Wagga,Orange,Supporting students with mental health issues (ED Emotional Disturbance)
8134,Orange High School,2800,Orange ,Wagga Wagga,Orange,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8143,Wollongong High School of the Performing Arts,2519,Fairy Meadow,Wagga Wagga,Wollongong,Supporting students with mental health issues (ED Emotional Disturbance)
8143,Wollongong High School of the Performing Arts,2519,Fairy Meadow,Wagga Wagga,Wollongong,Supporting students who are deaf or hearing impaired (H)
8146,Parkes High School,2870,Parkes ,Wagga Wagga,Mitchell,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8146,Parkes High School,2870,Parkes ,Wagga Wagga,Mitchell,Supporting students with mental health issues (ED Emotional Disturbance)
8146,Parkes High School,2870,Parkes ,Wagga Wagga,Mitchell,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8146,Parkes High School,2870,Parkes ,Wagga Wagga,Mitchell,Supporting students with mild intellectual disability (IM)
8150,Katoomba High School,2780,Katoomba ,Macquarie Park,Blue Mountains,Supporting students with mental health issues (ED Emotional Disturbance)
8150,Katoomba High School,2780,Katoomba ,Macquarie Park,Blue Mountains,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8150,Katoomba High School,2780,Katoomba ,Macquarie Park,Blue Mountains,Supporting students with mild intellectual disability (IM)
8150,Katoomba High School,2780,Katoomba ,Macquarie Park,Blue Mountains,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8154,Casino High School,2470,Casino ,Tamworth,Clarence Valley,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8154,Casino High School,2470,Casino ,Tamworth,Clarence Valley,Supporting students with mental health issues (ED Emotional Disturbance)
8154,Casino High School,2470,Casino ,Tamworth,Clarence Valley,Supporting students with mild intellectual disability (IM)
8154,Casino High School,2470,Casino ,Tamworth,Clarence Valley,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8154,Casino High School,2470,Casino ,Tamworth,Clarence Valley,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8165,Bega High School,2550,Bega ,Wagga Wagga,Batemans Bay,Supporting students with mild intellectual disability (IM)
8165,Bega High School,2550,Bega ,Wagga Wagga,Batemans Bay,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8165,Bega High School,2550,Bega ,Wagga Wagga,Batemans Bay,Supporting students with mental health issues (ED Emotional Disturbance)
8165,Bega High School,2550,Bega ,Wagga Wagga,Batemans Bay,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8168,Temora High School,2666,Temora ,Wagga Wagga,Temora,Supporting students with autism (Au)
8168,Temora High School,2666,Temora ,Wagga Wagga,Temora,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8170,Narrabri High School,2390,Narrabri,Tamworth,Namoi,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8170,Narrabri High School,2390,Narrabri,Tamworth,Namoi,Supporting students with mild intellectual disability (IM)
8171,Kiama High School,2533,Kiama ,Wagga Wagga,Shoalhaven,Supporting students with mild intellectual disability (IM)
8173,Wauchope High School,2446,Wauchope ,Tamworth,Macleay Valley,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8173,Wauchope High School,2446,Wauchope ,Tamworth,Macleay Valley,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8178,Richmond High School,2753,Richmond ,Macquarie Park,Hawkesbury,Supporting students with mild intellectual disability (IM)
8178,Richmond High School,2753,Richmond ,Macquarie Park,Hawkesbury,Supporting students with moderate intellectual disability (IO)
8178,Richmond High School,2753,Richmond ,Macquarie Park,Hawkesbury,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8188,Gunnedah High School,2380,Gunnedah,Tamworth,Mooki,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8188,Gunnedah High School,2380,Gunnedah,Tamworth,Mooki,Supporting students with mild intellectual disability (IM)
8190,Cootamundra High School,2590,Cootamundra ,Wagga Wagga,Temora,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8191,Corrimal High School,2518,Corrimal ,Wagga Wagga,Wollongong North,Supporting students with autism (Au)
8191,Corrimal High School,2518,Corrimal ,Wagga Wagga,Wollongong North,Supporting students with mild intellectual disability (IM)
8191,Corrimal High School,2518,Corrimal ,Wagga Wagga,Wollongong North,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8191,Corrimal High School,2518,Corrimal ,Wagga Wagga,Wollongong North,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8194,Forbes High School,2871,Forbes ,Wagga Wagga,Cowra,Supporting students with mild intellectual disability (IM)
8194,Forbes High School,2871,Forbes ,Wagga Wagga,Cowra,Supporting students with mental health issues (ED Emotional Disturbance)
8194,Forbes High School,2871,Forbes ,Wagga Wagga,Cowra,Supporting students with moderate intellectual disability (IO)
8194,Forbes High School,2871,Forbes ,Wagga Wagga,Cowra,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8197,Wellington High School,2820,Wellington ,Wagga Wagga,Mudgee,Supporting students with mental health issues (ED Emotional Disturbance)
8540,Marrickville High School,2204,Marrickville ,Ultimo,Marrickville,Supporting students with autism (Au)
8540,Marrickville High School,2204,Marrickville ,Ultimo,Marrickville,Supporting students with mild intellectual disability (IM)
8544,Lisarow High School,2250,Lisarow,Macquarie Park,Central Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8548,Woolgoolga High School,2456,Woolgoolga ,Tamworth,Grafton,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8551,Sarah Redfern High School,2566,Minto,Ultimo,St Andrews,Supporting students with moderate intellectual disability (IO)
8551,Sarah Redfern High School,2566,Minto,Ultimo,St Andrews,Supporting students with mild intellectual disability (IM)
8554,"Hastings Secondary College, Westport Campus",2444,Port Macquarie ,Tamworth,Hastings,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8554,"Hastings Secondary College, Westport Campus",2444,Port Macquarie ,Tamworth,Hastings,Supporting students with mild intellectual disability (IM)
8554,"Hastings Secondary College, Westport Campus",2444,Port Macquarie ,Tamworth,Hastings,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8555,Rose Bay Secondary College,2030,Dover Heights,Ultimo,Bondi,Supporting students with autism (Au)
8555,Rose Bay Secondary College,2030,Dover Heights,Ultimo,Bondi,Supporting students with moderate intellectual disability (IO)
8561,Shoalhaven High School,2541,Nowra ,Wagga Wagga,South Coast,Supporting students with mild intellectual disability (IM)
8561,Shoalhaven High School,2541,Nowra ,Wagga Wagga,South Coast,Supporting students with mental health issues (ED Emotional Disturbance)
8561,Shoalhaven High School,2541,Nowra ,Wagga Wagga,South Coast,Supporting students with moderate intellectual disability (IO)
8566,Melville High School,2440,Kempsey ,Tamworth,Macleay Valley,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8566,Melville High School,2440,Kempsey ,Tamworth,Macleay Valley,Supporting students with mental health issues (ED Emotional Disturbance)
8566,Melville High School,2440,Kempsey ,Tamworth,Macleay Valley,Supporting students with mild intellectual disability (IM)
8566,Melville High School,2440,Kempsey ,Tamworth,Macleay Valley,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8569,Eagle Vale High School,2558,Eagle Vale,Ultimo,Campbelltown,Supporting students with moderate intellectual disability (IO)
8569,Eagle Vale High School,2558,Eagle Vale,Ultimo,Campbelltown,Supporting students with autism (Au)
8569,Eagle Vale High School,2558,Eagle Vale,Ultimo,Campbelltown,Supporting students with mild intellectual disability (IM)
8572,Rutherford High School,2320,Rutherford,Tamworth,Maitland,Supporting students with mental health issues (ED Emotional Disturbance)
8572,Rutherford High School,2320,Rutherford,Tamworth,Maitland,Supporting students with mild intellectual disability (IM)
8572,Rutherford High School,2320,Rutherford,Tamworth,Maitland,Supporting students with moderate intellectual disability (IO)
8574,Mount View High School,2325,Cessnock West,Tamworth,Cessnock,Supporting students with mental health issues (ED Emotional Disturbance)
8574,Mount View High School,2325,Cessnock West,Tamworth,Cessnock,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8585,Kincumber High School,2251,Kincumber,Macquarie Park,Brisbane Water,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8585,Kincumber High School,2251,Kincumber,Macquarie Park,Brisbane Water,Supporting students who are deaf or hearing impaired (H)
8585,Kincumber High School,2251,Kincumber,Macquarie Park,Brisbane Water,Supporting students with mild intellectual disability (IM)
8585,Kincumber High School,2251,Kincumber,Macquarie Park,Brisbane Water,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8589,Thomas Reddall High School,2560,Ambarvale,Ultimo,Campbelltown,Supporting students with autism (Au)
8589,Thomas Reddall High School,2560,Ambarvale,Ultimo,Campbelltown,Supporting students with mild intellectual disability (IM)
8589,Thomas Reddall High School,2560,Ambarvale,Ultimo,Campbelltown,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8590,Erskine Park High School,2759,Erskine Park ,Macquarie Park,Eastern Creek,Supporting students with moderate intellectual disability (IO)
8590,Erskine Park High School,2759,Erskine Park ,Macquarie Park,Eastern Creek,Supporting students with mild intellectual disability (IM)
8811,Granville Boys High School,2142,Granville ,Macquarie Park,Parramatta,Supporting students with mild intellectual disability (IM)
8811,Granville Boys High School,2142,Granville ,Macquarie Park,Parramatta,Supporting students with autism (Au)
8811,Granville Boys High School,2142,Granville ,Macquarie Park,Parramatta,Supporting students with moderate intellectual disability (IO)
8833,Dulwich High School of Visual Arts and Design,2203,Dulwich Hill ,Ultimo,Canterbury,Supporting students with mild intellectual disability (IM)
8833,Dulwich High School of Visual Arts and Design,2203,Dulwich Hill ,Ultimo,Canterbury,Supporting students with moderate intellectual disability (IO)
8903,Cardiff High School,2285,Cardiff ,Tamworth,Lake Macquarie North,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8903,Cardiff High School,2285,Cardiff ,Tamworth,Lake Macquarie North,Supporting students with mild intellectual disability (IM)
8903,Cardiff High School,2285,Cardiff ,Tamworth,Lake Macquarie North,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8197,Wellington High School,2820,Wellington ,Wagga Wagga,Mudgee,Supporting students with mild intellectual disability (IM)
8197,Wellington High School,2820,Wellington ,Wagga Wagga,Mudgee,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8201,Nowra High School,2541,Nowra ,Wagga Wagga,South Coast,Supporting students with autism (Au)
8201,Nowra High School,2541,Nowra ,Wagga Wagga,South Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8201,Nowra High School,2541,Nowra ,Wagga Wagga,South Coast,Supporting students with mental health issues (ED Emotional Disturbance)
8201,Nowra High School,2541,Nowra ,Wagga Wagga,South Coast,Supporting students with mild intellectual disability (IM)
8204,Dapto High School,2530,Dapto ,Wagga Wagga,Lake Illawarra South,Supporting students with autism (Au)
8205,Illawarra Sports High School,2506,Berkeley ,Wagga Wagga,Lake Illawarra North,Supporting students with autism (Au)
8206,East Hills Boys High School,2213,Panania ,Ultimo,Chipping Norton,Supporting students with autism (Au)
8214,"The Rivers Secondary College, Richmond River High Campus",2480,North Lismore ,Tamworth,Lismore,Supporting students with mental health issues (ED Emotional Disturbance)
8216,Queanbeyan High School,2620,Queanbeyan ,Wagga Wagga,Queanbeyan,Supporting students with autism (Au)
8216,Queanbeyan High School,2620,Queanbeyan ,Wagga Wagga,Queanbeyan,Supporting students with mild intellectual disability (IM)
8216,Queanbeyan High School,2620,Queanbeyan ,Wagga Wagga,Queanbeyan,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8217,Camden High School,2570,Camden ,Ultimo,Camden,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8217,Camden High School,2570,Camden ,Ultimo,Camden,Supporting students with mild intellectual disability (IM)
8223,Bass High School,2197,Bass Hill,Ultimo,Chipping Norton,Supporting students with moderate intellectual disability (IO)
8223,Bass High School,2197,Bass Hill,Ultimo,Chipping Norton,Supporting students with mild intellectual disability (IM)
8241,Moorefield Girls High School,2217,Kogarah ,Ultimo,Kogarah,Supporting students with moderate intellectual disability (IO)
8241,Moorefield Girls High School,2217,Kogarah ,Ultimo,Kogarah,Supporting students with mild intellectual disability (IM)
8244,Blacktown Boys High School,2148,Blacktown ,Macquarie Park,Bungarribee,Supporting students with mild intellectual disability (IM)
8252,Strathfield South High School,2136,Enfield ,Ultimo,Strathfield,Supporting students who are deaf or hearing impaired (H)
8252,Strathfield South High School,2136,Enfield ,Ultimo,Strathfield,Supporting students with autism (Au)
8262,Ingleburn High School,2565,Ingleburn ,Ultimo,St Andrews,Supporting students with autism (Au)
8262,Ingleburn High School,2565,Ingleburn ,Ultimo,St Andrews,Supporting students with moderate intellectual disability (IO)
8268,Glenwood High School,2768,Glenwood ,Macquarie Park,Quakers Hill,Supporting students with autism (Au)
8268,Glenwood High School,2768,Glenwood ,Macquarie Park,Quakers Hill,Supporting students with moderate intellectual disability (IO)
8276,Glenmore Park High School,2745,Glenmore Park ,Ultimo,Penrith,Supporting students with autism (Au)
8276,Glenmore Park High School,2745,Glenmore Park ,Ultimo,Penrith,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8277,Wyndham College,2763,Quakers Hill ,Macquarie Park,Quakers Hill,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8277,Wyndham College,2763,Quakers Hill ,Macquarie Park,Quakers Hill,Supporting students with mild intellectual disability (IM)
8277,Wyndham College,2763,Quakers Hill ,Macquarie Park,Quakers Hill,Supporting students with autism (Au)
8286,Mount Annan High School,2567,Mount Annan ,Ultimo,Macarthur,Supporting students with mild intellectual disability (IM)
8286,Mount Annan High School,2567,Mount Annan ,Ultimo,Macarthur,Supporting students with autism (Au)
8318,Kandos High School,2848,Kandos ,Wagga Wagga,Lithgow,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8320,Kogarah High School,2217,Kogarah ,Ultimo,Kogarah,Supporting students who are deaf or hearing impaired (H)
8320,Kogarah High School,2217,Kogarah ,Ultimo,Kogarah,Supporting students with autism (Au)
8320,Kogarah High School,2217,Kogarah ,Ultimo,Kogarah,Supporting students with mild intellectual disability (IM)
8353,Nyngan High School,2825,Nyngan,Wagga Wagga,Mitchell,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8357,Blayney High School,2799,Blayney ,Wagga Wagga,Bathurst,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8357,Blayney High School,2799,Blayney ,Wagga Wagga,Bathurst,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8358,Tenterfield High School,2372,Tenterfield,Tamworth,Northern Tablelands,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8364,"Hastings Secondary College, Port Macquarie Campus",2444,Port Macquarie ,Tamworth,Hastings,Supporting students with mild intellectual disability (IM)
8364,"Hastings Secondary College, Port Macquarie Campus",2444,Port Macquarie ,Tamworth,Hastings,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8372,The Forest High School,2086,Frenchs Forest ,Macquarie Park,The Forest,Supporting students with autism (Au)
8374,Brisbane Water Secondary College Woy Woy Campus,2256,Woy Woy ,Macquarie Park,Brisbane Water,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8374,Brisbane Water Secondary College Woy Woy Campus,2256,Woy Woy ,Macquarie Park,Brisbane Water,Supporting students with mild intellectual disability (IM)
8379,Pittwater High School,2103,Mona Vale ,Macquarie Park,Pittwater,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8383,Nepean Creative and Performing Arts High School,2750,Emu Plains ,Macquarie Park,Penrith,Supporting students who are deaf or hearing impaired (H)
8383,Nepean Creative and Performing Arts High School,2750,Emu Plains ,Macquarie Park,Penrith,Supporting students with moderate intellectual disability (IO)
8383,Nepean Creative and Performing Arts High School,2750,Emu Plains ,Macquarie Park,Penrith,Supporting students with mild intellectual disability (IM)
8392,West Wyalong High School,2671,West Wyalong ,Wagga Wagga,West Wyalong,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8394,Miller High School,2168,Miller,Ultimo,Liverpool,Supporting students with autism (Au)
8394,Miller High School,2168,Miller,Ultimo,Liverpool,Supporting students with mild intellectual disability (IM)
8394,Miller High School,2168,Miller,Ultimo,Liverpool,Supporting students with moderate intellectual disability (IO)
8394,Miller High School,2168,Miller,Ultimo,Liverpool,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8396,Windsor High School,2756,Mcgraths Hill ,Macquarie Park,Windsor,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8396,Windsor High School,2756,Mcgraths Hill ,Macquarie Park,Windsor,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8400,St Ives High School,2075,St Ives ,Macquarie Park,The Forest,Supporting students who are deaf or hearing impaired (H)
8410,Woonona High School,2517,Woonona ,Wagga Wagga,Wollongong North,Supporting students with autism (Au)
8413,Morisset High School,2264,Morisset ,Tamworth,Lake Macquarie West,Supporting students with mental health issues (ED Emotional Disturbance)
8413,Morisset High School,2264,Morisset ,Tamworth,Lake Macquarie West,Supporting students with moderate intellectual disability (IO)
8413,Morisset High School,2264,Morisset ,Tamworth,Lake Macquarie West,Supporting students with mild intellectual disability (IM)
8414,Chatham High School,2430,Taree ,Tamworth,Taree,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8414,Chatham High School,2430,Taree ,Tamworth,Taree,Supporting students with mild intellectual disability (IM)
8414,Chatham High School,2430,Taree ,Tamworth,Taree,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8415,Ryde Secondary College,2112,Ryde,Macquarie Park,Ryde,Supporting students with mild intellectual disability (IM)
8415,Ryde Secondary College,2112,Ryde,Macquarie Park,Ryde,Supporting students with moderate intellectual disability (IO)
8416,Ku-ring-gai High School,2074,North Turramurra,Macquarie Park,Pittwater,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8423,Kotara High School,2289,Adamstown ,Tamworth,Glenrock,Supporting students with autism (Au)
8423,Kotara High School,2289,Adamstown ,Tamworth,Glenrock,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8423,Kotara High School,2289,Adamstown ,Tamworth,Glenrock,Supporting students who are deaf or hearing impaired (H)
8424,Holroyd High School,2145,Greystanes ,Macquarie Park,Girraween,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8424,Holroyd High School,2145,Greystanes ,Macquarie Park,Girraween,Supporting students with autism (Au)
8440,Warners Bay High School,2282,Warners Bay ,Tamworth,Lake Macquarie North,Supporting students with autism (Au)
8448,Bomaderry High School,2541,Bomaderry ,Wagga Wagga,Shoalhaven,Supporting students with mild intellectual disability (IM)
8448,Bomaderry High School,2541,Bomaderry ,Wagga Wagga,Shoalhaven,Supporting students with moderate intellectual disability (IO)
8451,Coonamble High School,2829,Coonamble ,Wagga Wagga,Western Plains,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
